band,band_key,label,lower_celsius,upper_celsius,sort_order
setpoint,1,冷凍 (< 0 °C),,0,1
setpoint,2,冷蔵 (>= 0 °C),0,,2
ambient_temperature,1,< 5 °C,,5,1
ambient_temperature,2,5..10 °C,5,10,2
ambient_temperature,3,10..15 °C,10,15,3
ambient_temperature,4,15..20 °C,15,20,4
ambient_temperature,5,20..25 °C,20,25,5
ambient_temperature,6,25..30 °C,25,30,6
ambient_temperature,7,30..35 °C,30,35,7
ambient_temperature,8,35..40 °C,35,40,8
ambient_temperature,9,>= 40 °C,40,,9
interior_temperature,1,< -18 °C,,-18,1
interior_temperature,2,-18..-15 °C,-18,-15,2
interior_temperature,3,-15..-5 °C,-15,-5,3
interior_temperature,4,-5..5 °C,-5,5,4
interior_temperature,5,5..15 °C,5,15,5
interior_temperature,6,>= 15 °C,15,,6
interior_delta,1,< 0 °C,,0,1
interior_delta,2,0..2 °C,0,2,2
interior_delta,3,2..5 °C,2,5,3
interior_delta,4,5..10 °C,5,10,4
interior_delta,5,10..20 °C,10,20,5
interior_delta,6,>= 20 °C,20,,6
